step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,MicroF1,MacroF1,error
1012.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.47408999999999996,True,0.0,0.0,0.0,
1058.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.514736,True,0.0,0.0,0.0,
1104.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.557043,True,0.0,0.0,0.0,
1150.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.6009979999999999,True,0.0,0.0,0.0,
1196.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.646585,True,0.0,0.0,0.0,
1242.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.693794,True,0.0,0.0,0.0,
1288.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.7427320000000001,True,0.0,0.0,0.0,
1334.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.793336,True,0.0,0.0,0.0,
1380.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.845642,True,0.0,0.0,0.0,
1426.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.89969,True,0.0,0.0,0.0,
1472.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.955413,True,0.0,0.0,0.0,
1518.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.012807,True,0.0,0.0,0.0,
1564.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,1.071911,True,0.0,0.0,0.0,
1610.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,1.132671,True,0.0,0.0,0.0,
1656.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,1.1950669999999999,True,0.0,0.0,0.0,
1702.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,1.2591379999999999,True,0.0,0.0,0.0,
1748.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,1.324838,True,0.0,0.0,0.0,
1794.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,1.392186,True,0.0,0.0,0.0,
1840.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.4611839999999998,True,0.0,0.0,0.0,
1886.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.5318299999999998,True,0.0,0.0,0.0,
1932.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.6041039999999998,True,0.0,0.0,0.0,
1978.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.6780199999999998,True,0.0,0.0,0.0,
2024.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.7535589999999999,True,0.0,0.0,0.0,
2070.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.8307499999999999,True,0.0,0.0,0.0,
2116.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.9095739999999999,True,0.0,0.0,0.0,
2162.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,1.9901049999999998,True,0.0,0.0,0.0,
