step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
775,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.3568170000000002,False,0.0,0.0
800,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.4421240000000002,False,0.0,0.0
825,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.5299300000000002,False,0.0,0.0
850,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.6202400000000003,False,0.0,0.0
875,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.7130690000000004,False,0.0,0.0
900,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.8084210000000005,False,0.0,0.0
925,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.9062740000000005,False,0.0,0.0
950,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.0066480000000007,False,0.0,0.0
975,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.1095370000000004,False,0.0,0.0
1000,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.2154070000000003,False,0.0,0.0
1025,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.323805,False,0.0,0.0
1050,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.4347220000000003,False,0.0,0.0
1075,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.5481640000000003,False,0.0,0.0
1100,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.6640500000000005,False,0.0,0.0
1125,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.7824480000000005,False,0.0,0.0
1150,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,2.9033850000000005,False,0.0,0.0
1175,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,3.0268580000000007,False,0.0,0.0
1200,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,3.1531100000000007,False,0.0,0.0
1225,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,3.2818430000000007,False,0.0,0.0
1250,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,3.4131550000000006,False,0.0,0.0
1903,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,0.085834,False,0.0,0.0
3806,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,0.35268999999999995,False,0.0,0.0
5709,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,0.783895,False,0.0,0.0
7612,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,1.374545,False,0.0,0.0
9515,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,2.1132229999999996,False,0.0,0.0
11418,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,2.9932419999999995,False,0.0,0.0
13321,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,3.9673579999999995,False,0.0,0.0
15224,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,5.027773999999999,False,0.0,0.0
17127,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,6.174004999999999,False,0.0,0.0
19030,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,7.407171999999999,False,0.0,0.0
20933,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,8.726934,False,0.0,0.0
22836,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,10.133043,False,0.0,0.0
24739,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,11.625876000000002,False,0.0,0.0
26642,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,13.205959000000002,False,0.0,0.0
28545,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,14.872453000000002,False,0.0,0.0
30448,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,16.625592,False,0.0,0.0
32351,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,18.466258,False,0.0,0.0
34254,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,20.394025,False,0.0,0.0
36157,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,22.408412,False,0.0,0.0
38060,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,24.510182,False,0.0,0.0
39963,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,26.698298,False,0.0,0.0
41866,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,28.972922,False,0.0,0.0
43769,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,31.333765,False,0.0,0.0
45672,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,33.782203,False,0.0,0.0
47575,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,36.317937,False,0.0,0.0
